中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,62 ms,484 Mbps,62054 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,23 ms,800 Mbps,102400 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,103 ms,189 Mbps,24268 kB/s
129.146.7.98,443,2a09:bac5:60ed:1173::1bd:ea,US,Los Angeles,隧道,71 ms,89 Mbps,11468 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,17 ms,74 Mbps,9498 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,20 ms,59 Mbps,7661 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,472 Mbps,60416 kB/s
129.146.46.164,443,129.146.46.164,331 Mbps,42393 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,59 ms,399 Mbps,51097 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,109 ms,45 Mbps,5875 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,404 Mbps,51712 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,316 Mbps,40550 kB/s
34.82.76.253,443,34.127.98.139,US,Seattle,隧道,54 ms,424 Mbps,54374 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,22 ms,651 Mbps,83353 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,133 ms,276 Mbps,35328 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,204 Mbps,26214 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,422 Mbps,54067 kB/s
35.197.23.75,443,35.212.151.84,US,Seattle,隧道,67 ms,313 Mbps,40140 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,94 ms,554 Mbps,70963 kB/s
35.230.79.26,443,35.212.151.84,US,Seattle,隧道,55 ms,492 Mbps,63078 kB/s
141.147.83.45,443,2a0b:21c0:100a:1b1:0:a8e7:a4f5:cc74,DE,Frankfurt,隧道,131 ms,222 Mbps,28467 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,193 Mbps,24780 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,264 Mbps,33894 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,118 ms,48 Mbps,6167 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,114 ms,43 Mbps,5601 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,136 Mbps,17510 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,112 ms,41 Mbps,5314 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,137 ms,232 Mbps,29696 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,112 ms,44 Mbps,5671 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,44 Mbps,5703 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,44 Mbps,5646 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,155 ms,161 Mbps,20684 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,165 ms,39 Mbps,5007 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,155 ms,36 Mbps,4698 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,359 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,201 ms,41 Mbps,5270 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,192 ms,81 Mbps,10444 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,210 ms,40 Mbps,5194 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,202 ms,0 Mbps,27 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,182 ms,96 Mbps,12288 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,207 ms,37 Mbps,4746 kB/s
130.162.144.191,443,2a09:bac5:4737:1a14::299:67,KR,Seoul,隧道,216 ms,42 Mbps,5414 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,227 ms,41 Mbps,5357 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,216 ms,0 Mbps,68 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,230 ms,90 Mbps,11571 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,110 ms,0 Mbps,23 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,241 ms,46 Mbps,6003 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,185 ms,17 Mbps,2303 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,165 ms,40 Mbps,5181 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,233 ms,24 Mbps,3197 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,221 ms,1 Mbps,155 kB/s
