中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,28 ms,880 Mbps,112640 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,17 ms,270 Mbps,34611 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26a:85,US,Los Angeles,隧道,27 ms,74 Mbps,9506 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,2 ms,888 Mbps,113664 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,24 ms,677 Mbps,86732 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1704 Mbps,218112 kB/s
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,31 ms,904 Mbps,115712 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,436 Mbps,55910 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,89 ms,328 Mbps,41984 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,17 ms,444 Mbps,56934 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,78 ms,444 Mbps,56934 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,21 ms,450 Mbps,57651 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,8 ms,816 Mbps,104448 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,119 ms,211 Mbps,27033 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,149 Mbps,19148 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,44 ms,312 Mbps,39936 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,80 ms,19 Mbps,2482 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,25 ms,59 Mbps,7560 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,73 ms,26 Mbps,3352 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,21 ms,1312 Mbps,167936 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,181 ms,114 Mbps,14643 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,156 ms,113 Mbps,14540 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,42 ms,47 Mbps,6094 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,159 ms,34 Mbps,4476 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,140 ms,150 Mbps,19251 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,111 ms,17 Mbps,2235 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,128 Mbps,16384 kB/s
8.219.66.156,443,8.219.69.217,SG,Singapore,隧道,174 ms,4 Mbps,554 kB/s
8.212.48.236,443,47.76.21.95,HK,Hong Kong,隧道,164 ms,126 Mbps,16179 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,168 ms,120 Mbps,15360 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,193 ms,3 Mbps,399 kB/s
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,202 ms,99 Mbps,12697 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,113 ms,152 Mbps,19558 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,106 ms,0 Mbps,59 kB/s
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,154 ms,112 Mbps,14336 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,148 ms,40 Mbps,5204 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,155 ms,123 Mbps,15769 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,168 ms,2 Mbps,334 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,173 ms,18 Mbps,2352 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,165 ms,174 Mbps,22323 kB/s
146.56.188.113,443,146.56.188.113,KR,Seoul,中转,150 ms,11 Mbps,1535 kB/s
8.219.118.97,443,8.219.142.198,SG,Singapore,隧道,198 ms,27 Mbps,3582 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,158 ms,0 Mbps,26 kB/s
8.219.207.106,443,8.222.213.200,SG,Singapore,隧道,191 ms,25 Mbps,3201 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,194 ms,88 Mbps,11366 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,180 ms,112 Mbps,14336 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,202 ms,79 Mbps,10137 kB/s
