中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,8 ms,190 Mbps,24371 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,15 ms,143 Mbps,18329 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,33 ms,788 Mbps,100864 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,6 ms,1168 Mbps,149504 kB/s
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:9d,US,Los Angeles,隧道,73 ms,78 Mbps,9987 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,75 ms,355 Mbps,45465 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,331 Mbps,42393 kB/s
35.230.79.26,443,35.212.209.68,US,Seattle,隧道,77 ms,328 Mbps,42086 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,253 Mbps,32460 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,260 Mbps,33280 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,72 ms,380 Mbps,48742 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,307 Mbps,39321 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,59 ms,55 Mbps,7079 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,10 ms,1248 Mbps,159744 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,66 ms,357 Mbps,45772 kB/s
35.197.23.75,443,35.212.209.68,US,Seattle,隧道,68 ms,387 Mbps,49561 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,72 ms,53 Mbps,6883 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,104 ms,41 Mbps,5251 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,88 ms,41 Mbps,5329 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,85 ms,250 Mbps,32051 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,105 ms,244 Mbps,31334 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,90 ms,48 Mbps,6205 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,47 Mbps,6025 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,48 Mbps,6159 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,136 ms,260 Mbps,33382 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,164 ms,40 Mbps,5221 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,92 ms,47 Mbps,6082 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,170 ms,1 Mbps,230 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,164 ms,40 Mbps,5185 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,119 Mbps,15257 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,96 ms,45 Mbps,5866 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,198 ms,40 Mbps,5161 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,215 ms,36 Mbps,4700 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,210 ms,34 Mbps,4398 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,206 ms,77 Mbps,9920 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,184 ms,43 Mbps,5622 kB/s
158.101.130.149,443,2607:a400:a:6c:0:3557:b712:b1e3,US,Los Angeles,隧道,170 ms,115 Mbps,14745 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,211 ms,83 Mbps,10649 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,218 ms,40 Mbps,5169 kB/s
130.162.144.191,443,2a09:bac5:4735:1a14::299:6d,KR,Seoul,隧道,219 ms,34 Mbps,4470 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,247 ms,29 Mbps,3831 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,247 ms,2 Mbps,287 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,232 ms,4 Mbps,532 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,197 ms,39 Mbps,4999 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,238 ms,32 Mbps,4190 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,322 ms,0 Mbps,13 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,217 ms,2 Mbps,304 kB/s
