中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,1 ms,4 Mbps,574 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,635 Mbps,81305 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,74 ms,395 Mbps,50585 kB/s
34.82.76.253,443,34.182.31.213,US,Seattle,隧道,70 ms,399 Mbps,51097 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,72 ms,296 Mbps,37990 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,388 Mbps,49664 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,76 ms,423 Mbps,54169 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,402 Mbps,51507 kB/s
141.144.201.185,443,163.123.193.10,DE,Frankfurt,隧道,93 ms,285 Mbps,36556 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,70 ms,326 Mbps,41779 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,237 Mbps,30412 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,273 Mbps,35020 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,81 ms,302 Mbps,38707 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,82 ms,48 Mbps,6240 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,79 ms,325 Mbps,41676 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,236 Mbps,30310 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,280 Mbps,35942 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,45 Mbps,5817 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,42 Mbps,5390 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,123 Mbps,15769 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,167 ms,38 Mbps,4973 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,38 Mbps,4936 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,202 ms,39 Mbps,5111 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,214 ms,8 Mbps,1096 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,230 ms,9 Mbps,1242 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,232 ms,36 Mbps,4715 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,219 ms,1 Mbps,132 kB/s
