中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,29 ms,864 Mbps,110592 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,28 ms,596 Mbps,76390 kB/s
129.146.7.98,443,2a09:bac1:76e0:e18::26b:67,US,Los Angeles,隧道,24 ms,52 Mbps,6663 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,1224 Mbps,156672 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,8 ms,649 Mbps,83148 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,131 ms,165 Mbps,21196 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,22 ms,718 Mbps,91955 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,22 ms,710 Mbps,90931 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,81 ms,293 Mbps,37580 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,17 ms,391 Mbps,50073 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,20 ms,70 Mbps,9067 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,18 ms,880 Mbps,112640 kB/s
129.146.46.164,443,129.146.46.164,US,San Jose,中转,60 ms,34 Mbps,4447 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,18 ms,456 Mbps,58470 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,75 ms,413 Mbps,52940 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,74 ms,43 Mbps,5519 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,74 ms,56 Mbps,7208 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,167 ms,45 Mbps,5803 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,37 ms,284 Mbps,36352 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,41 ms,888 Mbps,113664 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,167 ms,119 Mbps,15257 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,151 ms,43 Mbps,5574 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,192 ms,95 Mbps,12185 kB/s
130.162.144.191,443,2a09:bac5:4732:1a14::299:66,KR,Seoul,隧道,149 ms,41 Mbps,5311 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,180 ms,141 Mbps,18124 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,198 ms,106 Mbps,13619 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,105 Mbps,13516 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,164 ms,40 Mbps,5147 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,176 ms,3 Mbps,398 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,172 ms,23 Mbps,3019 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,111 ms,149 Mbps,19148 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,152 ms,40 Mbps,5151 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,77 ms,45 Mbps,5877 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,144 ms,148 Mbps,19046 kB/s
168.138.149.17,443,168.138.149.17,BR,S
