中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Ashburn,中转,27 ms,343 Mbps,43929 kB/s
141.148.239.46,443,2606:f240:f00:46c4:0:1222:ba6f:8277,US,Frankfurt,隧道,92 ms,132 Mbps,16896 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,92 ms,39 Mbps,5067 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,79 ms,345 Mbps,44236 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,102 ms,212 Mbps,27238 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,47 ms,592 Mbps,75878 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,8 ms,494 Mbps,63283 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,28 ms,604 Mbps,77414 kB/s
129.159.84.71,443,129.159.84.71,US,Boston,中转,41 ms,5 Mbps,656 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,80 ms,49 Mbps,6306 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,6 ms,73 Mbps,9377 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,83 ms,376 Mbps,48230 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,271 Mbps,34713 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,107 ms,207 Mbps,26521 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,407 Mbps,52121 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,104 ms,192 Mbps,24678 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,101 ms,44 Mbps,5702 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,73 ms,316 Mbps,40448 kB/s
144.22.252.124,443,144.22.252.124,BR,S
