中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,72 Mbps,9332 kB/s
35.230.79.26,443,35.212.224.237,US,Seattle,隧道,45 ms,579 Mbps,74137 kB/s
192.9.138.241,443,192.9.138.241,,San Jose,中转,0 ms,1080 Mbps,138240 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,32 ms,341 Mbps,43724 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1144 Mbps,146432 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,76 ms,361 Mbps,46284 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,66 ms,439 Mbps,56217 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,21 ms,662 Mbps,84787 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,18 ms,737 Mbps,94412 kB/s
154.23.240.232,443,154.23.240.232,US,Los Angeles,中转,14 ms,41 Mbps,5346 kB/s
35.197.23.75,443,35.212.224.237,US,Seattle,隧道,57 ms,599 Mbps,76697 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,42 ms,66 Mbps,8521 kB/s
132.226.31.178,443,2a09:bac5:60ea:1846::26b:ac,US,Los Angeles,隧道,29 ms,44 Mbps,5690 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,41 ms,512 Mbps,65536 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,72 ms,25 Mbps,3252 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,65 ms,13 Mbps,1744 kB/s
138.2.227.164,443,138.2.227.164,US,San Jose,中转,25 ms,742 Mbps,95027 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,145 ms,177 Mbps,22732 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,38 ms,295 Mbps,37785 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,144 ms,136 Mbps,17408 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,62 ms,404 Mbps,51712 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,57 ms,588 Mbps,75264 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,118 ms,200 Mbps,25702 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,139 ms,42 Mbps,5388 kB/s
141.148.235.113,443,2a0b:21c0:1007:ca:0:bdb:2f86:33c1,DE,Frankfurt,隧道,165 ms,136 Mbps,17510 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,123 Mbps,15769 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,177 ms,135 Mbps,17305 kB/s
