中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,12 ms,16 Mbps,2090 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,27 ms,34 Mbps,4380 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,82 ms,296 Mbps,37888 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,456 Mbps,58368 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,81 ms,330 Mbps,42291 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,71 ms,32 Mbps,4146 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,102 ms,303 Mbps,38809 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,82 ms,466 Mbps,59699 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,63 ms,365 Mbps,46796 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,28 ms,13 Mbps,1703 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,77 ms,263 Mbps,33689 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,426 Mbps,54579 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,225 Mbps,28876 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,90 ms,37 Mbps,4811 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,96 ms,51 Mbps,6588 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,99 ms,55 Mbps,7109 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,78 ms,312 Mbps,40038 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,92 ms,40 Mbps,5160 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,45 ms,1 Mbps,135 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,288 Mbps,36864 kB/s
150.230.148.47,443,2a0b:21c0:100a:1fa:0:69ab:f312:811b,DE,Frankfurt,隧道,99 ms,274 Mbps,35123 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,103 ms,30 Mbps,3857 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,82 ms,325 Mbps,41676 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,127 ms,203 Mbps,26009 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,22 ms,92 Mbps,11878 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,175 ms,105 Mbps,13516 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,27 ms,35 Mbps,4527 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,110 ms,47 Mbps,6074 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,102 ms,46 Mbps,6014 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,121 ms,154 Mbps,19763 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,16 ms,2 Mbps,281 kB/s
