中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,13 ms,799 Mbps,102297 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,21 ms,7 Mbps,930 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,51 ms,482 Mbps,61747 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,53 ms,501 Mbps,64204 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,20 ms,104 Mbps,13414 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,50 ms,484 Mbps,61952 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,440 Mbps,56422 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,400 Mbps,51302 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,57 ms,410 Mbps,52531 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,60 ms,259 Mbps,33177 kB/s
129.146.46.164,443,129.146.46.164,US,292 Mbps,37376 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,174 Mbps,22323 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,206 Mbps,26419 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,53 ms,433 Mbps,55500 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,111 ms,47 Mbps,6125 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,256 Mbps,32768 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,51 Mbps,6580 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,149 ms,151 Mbps,19353 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,109 ms,50 Mbps,6402 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,33 Mbps,4249 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,155 ms,43 Mbps,5560 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,211 ms,9 Mbps,1205 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,205 ms,40 Mbps,5182 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,228 ms,35 Mbps,4525 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,205 ms,33 Mbps,4324 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,199 ms,12 Mbps,1567 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,209 ms,38 Mbps,4934 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,238 ms,37 Mbps,4811 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,203 ms,90 Mbps,11571 kB/s
