中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,2 ms,75 Mbps,9651 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,9 ms,65 Mbps,8444 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,102 ms,293 Mbps,37580 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,47 Mbps,6136 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,712 Mbps,91136 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,82 ms,344 Mbps,44032 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,220 Mbps,28262 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,30 ms,568 Mbps,72806 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,93 ms,250 Mbps,32051 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,87 ms,49 Mbps,6388 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,78 ms,393 Mbps,50380 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,61 ms,504 Mbps,64614 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,356 Mbps,45568 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,68 ms,329 Mbps,42188 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,94 ms,221 Mbps,28364 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,218 ms,35 Mbps,4595 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,33 ms,38 Mbps,4987 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,244 Mbps,31232 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,81 ms,292 Mbps,37376 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,73 ms,384 Mbps,49152 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,132 ms,146 Mbps,18739 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,98 ms,42 Mbps,5499 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,101 ms,256 Mbps,32870 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,14 ms,4 Mbps,533 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,269 Mbps,34508 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,188 ms,129 Mbps,16588 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,211 ms,37 Mbps,4785 kB/s
143.47.240.79,443,98.98.166.186,US,Frankfurt,隧道,99 ms,216 Mbps,27648 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,108 ms,40 Mbps,5191 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,100 ms,19 Mbps,2453 kB/s
152.70.54.161,443,2606:f240:f00:dd8d:0:ca4:62bb:1b9f,US,Frankfurt,隧道,106 ms,265 Mbps,33996 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,223 ms,39 Mbps,5098 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,122 ms,174 Mbps,22323 kB/s
193.123.57.244,443,98.98.156.18,DE,Frankfurt,隧道,99 ms,264 Mbps,33792 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,198 ms,90 Mbps,11571 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,13 ms,6 Mbps,892 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,205 ms,82 Mbps,10547 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,218 ms,77 Mbps,9954 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,198 ms,88 Mbps,11366 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,255 ms,55 Mbps,7153 kB/s
193.123.230.164,443,217.142.149.56,KR,Seoul,隧道,200 ms,71 Mbps,9152 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,110 ms,44 Mbps,5752 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,86 ms,42 Mbps,5378 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,240 ms,34 Mbps,4411 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,127 ms,118 Mbps,15155 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,40 Mbps,5214 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,260 ms,69 Mbps,8931 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,97 ms,45 Mbps,5837 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,191 ms,31 Mbps,3972 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,219 ms,31 Mbps,3999 kB/s
152.67.200.119,443,2602:ffe4:407:20da:0:3631:c2c8:d0f1,SG,Singapore,隧道,269 ms,49 Mbps,6309 kB/s
143.47.244.160,443,2a0b:21c0:100a:1b1:0:39a0:cdd:d0a1,DE,Frankfurt,隧道,107 ms,205 Mbps,26316 kB/s
130.162.144.191,443,2a09:bac5:4757:1482::20b:9c,KR,Seoul,隧道,217 ms,36 Mbps,4612 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,98 ms,281 Mbps,36044 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,227 ms,61 Mbps,7836 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,239 ms,80 Mbps,10342 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,98 ms,27 Mbps,3487 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,100 ms,248 Mbps,31846 kB/s
8.212.44.95,443,47.76.21.99,HK,Hong Kong,隧道,244 ms,53 Mbps,6861 kB/s
152.70.49.76,443,2a0b:21c0:100a:1b1:0:9a67:bc06:c129,DE,Frankfurt,隧道,113 ms,115 Mbps,14745 kB/s
8.218.73.41,443,8.218.73.41,HK,Hong Kong,中转,245 ms,1 Mbps,202 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,90 ms,40 Mbps,5244 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,249 ms,32 Mbps,4153 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,210 ms,115 Mbps,14745 kB/s
