中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,29 ms,741 Mbps,94924 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,37 ms,624 Mbps,79974 kB/s
35.197.23.75,443,35.212.173.121,US,Seattle,隧道,37 ms,616 Mbps,78950 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,25 ms,661 Mbps,84684 kB/s
35.230.79.26,443,35.212.173.121,US,Seattle,隧道,38 ms,608 Mbps,77824 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,43 ms,6 Mbps,776 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,28 ms,361 Mbps,46284 kB/s
34.82.76.253,443,34.83.12.158,US,Seattle,隧道,39 ms,652 Mbps,83558 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,448 Mbps,57446 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,124 ms,192 Mbps,24678 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,129 ms,165 Mbps,21196 kB/s
141.147.165.223,443,140.238.41.131,JP,Tokyo,隧道,121 ms,107 Mbps,13721 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,130 ms,46 Mbps,5952 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,141 ms,169 Mbps,21708 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,128 ms,48 Mbps,6171 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,128 ms,16 Mbps,2115 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,135 ms,132 Mbps,16896 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,145 ms,35 Mbps,4558 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,1287 ms,1 Mbps,233 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,163 ms,97 Mbps,12492 kB/s
