中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,408 Mbps,52326 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,72 ms,333 Mbps,42700 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,362 Mbps,46387 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,68 ms,369 Mbps,47308 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,68 ms,336 Mbps,43008 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,336 Mbps,43110 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,66 ms,241 Mbps,30924 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,263 Mbps,33689 kB/s
141.148.230.70,443,2606:f240:f00:5a42:0:bdb1:8803:9c16,DE,Frankfurt,隧道,96 ms,186 Mbps,23859 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,241 Mbps,30924 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,40 Mbps,5206 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,93 ms,43 Mbps,5558 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,88 ms,51 Mbps,6562 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,157 ms,35 Mbps,4559 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,124 Mbps,15872 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,169 ms,0 Mbps,99 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,205 ms,38 Mbps,4908 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,204 ms,14 Mbps,1799 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,226 ms,32 Mbps,4207 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,206 ms,34 Mbps,4413 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,171 ms,0 Mbps,29 kB/s
150.230.217.106,443,2602:ffe4:407:20da:0:d4ea:ab53:f61a,SG,Singapore,隧道,451 ms,0 Mbps,114 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,5 ms,45 Mbps,5866 kB/s
