中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,7 ms,85 Mbps,10956 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,5 ms,1272 Mbps,162816 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,612 Mbps,78438 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,8 ms,1472 Mbps,188416 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,224 Mbps,28672 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,406 Mbps,52019 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,221 Mbps,28364 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,74 ms,316 Mbps,40448 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,73 ms,239 Mbps,30617 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,90 ms,318 Mbps,40755 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,224 Mbps,28672 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,297 Mbps,38092 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,252 Mbps,32256 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,59 ms,332 Mbps,42496 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,64 ms,356 Mbps,45670 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,82 ms,280 Mbps,35942 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,252 Mbps,32358 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,50 Mbps,6448 kB/s
141.144.204.181,443,2a0b:21c0:100a:1b7:0:340e:ef0d:34c8,DE,Frankfurt,隧道,103 ms,220 Mbps,28262 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,87 ms,49 Mbps,6306 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,161 ms,120 Mbps,15462 kB/s
131.186.22.251,443,130.162.140.114,KR,Seoul,隧道,197 ms,78 Mbps,10035 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,212 ms,30 Mbps,3967 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,167 ms,37 Mbps,4852 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,200 ms,79 Mbps,10137 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,177 ms,38 Mbps,4953 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,174 ms,36 Mbps,4617 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,211 ms,24 Mbps,3177 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:9aca:acc0:c40f,SG,Singapore,隧道,253 ms,47 Mbps,6074 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,241 ms,38 Mbps,4986 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,203 ms,71 Mbps,9180 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,281 ms,24 Mbps,3133 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,208 ms,2 Mbps,272 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,230 ms,3 Mbps,405 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,294 ms,0 Mbps,17 kB/s
