中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,1 ms,7 Mbps,901 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,2 ms,91 Mbps,11673 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,697 Mbps,89292 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,55 ms,360 Mbps,46080 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,278 Mbps,35635 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,83 ms,45 Mbps,5846 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,71 ms,342 Mbps,43827 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,70 ms,386 Mbps,49459 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,212 Mbps,27238 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,75 ms,284 Mbps,36454 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,51 Mbps,6552 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,83 ms,328 Mbps,41984 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,280 Mbps,35840 kB/s
35.197.23.75,443,35.212.186.181,US,Seattle,隧道,73 ms,375 Mbps,48025 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,105 ms,296 Mbps,37990 kB/s
35.230.79.26,443,35.212.186.181,US,Seattle,隧道,70 ms,378 Mbps,48435 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,239 Mbps,30617 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,405 Mbps,51916 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,270 Mbps,34611 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,104 ms,45 Mbps,5792 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,180 ms,40 Mbps,5155 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,41 Mbps,5287 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,113 Mbps,14540 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,228 ms,5 Mbps,759 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,220 ms,39 Mbps,5052 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,249 ms,38 Mbps,4987 kB/s
143.47.176.251,443,2606:f240:f00:2be4:0:35b1:62f0:7ccf,DE,Denver,隧道,108 ms,117 Mbps,15052 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,193 ms,37 Mbps,4836 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,225 ms,38 Mbps,4918 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,241 ms,14 Mbps,1906 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,204 ms,33 Mbps,4343 kB/s
