中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,10 ms,79 Mbps,10137 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,12 ms,1400 Mbps,179200 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,5 ms,1088 Mbps,139264 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,513 Mbps,65740 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,222 Mbps,28467 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,376 Mbps,48230 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,72 ms,234 Mbps,30003 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,87 ms,214 Mbps,27443 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,70 ms,309 Mbps,39628 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,78 ms,258 Mbps,33075 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,262 Mbps,33587 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,327 Mbps,41881 kB/s
130.162.166.152,443,2a0b:21c0:1007:c7:0:a14d:fdd4:8f91,DE,Frankfurt,隧道,95 ms,277 Mbps,35532 kB/s
143.47.176.251,443,2a0b:21c0:1007:1c9:0:c3db:6fbd:c07e,DE,Frankfurt,隧道,89 ms,264 Mbps,33894 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,95 ms,46 Mbps,5992 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,75 ms,139 Mbps,17817 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,95 ms,50 Mbps,6504 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,93 ms,49 Mbps,6384 kB/s
158.101.221.74,443,23.236.112.222,DE,Frankfurt,隧道,96 ms,236 Mbps,30208 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,85 ms,49 Mbps,6367 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,242 Mbps,31027 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,50 Mbps,6506 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,159 ms,116 Mbps,14950 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,0 Mbps,68 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,170 ms,2 Mbps,263 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,164 ms,41 Mbps,5373 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,184 ms,90 Mbps,11571 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,0 Mbps,124 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,225 ms,35 Mbps,4485 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,237 ms,57 Mbps,7343 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,196 ms,87 Mbps,11161 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,219 ms,32 Mbps,4195 kB/s
158.101.130.149,443,128.14.110.204,SG,Singapore,隧道,235 ms,54 Mbps,6989 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,202 ms,33 Mbps,4233 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,235 ms,3 Mbps,499 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,211 ms,5 Mbps,713 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,223 ms,2 Mbps,300 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,164 ms,38 Mbps,4969 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,223 ms,0 Mbps,19 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,208 ms,0 Mbps,1 kB/s
