中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,58 ms,643 Mbps,82329 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,35 ms,568 Mbps,72806 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,82 ms,395 Mbps,50585 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,27 ms,75 Mbps,9677 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,570 Mbps,73011 kB/s
47.253.152.99,443,47.253.152.99,US,Ashburn,中转,22 ms,52 Mbps,6657 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,28 ms,52 Mbps,6768 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,84 ms,479 Mbps,61337 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,115 ms,229 Mbps,29388 kB/s
129.146.7.98,443,2a09:bac5:60ea:183c::26a:d,US,Los Angeles,隧道,77 ms,53 Mbps,6847 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,104 ms,8 Mbps,1118 kB/s
35.197.23.75,443,35.212.201.120,US,Seattle,隧道,96 ms,322 Mbps,41267 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,95 ms,264 Mbps,33792 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,11 ms,152 Mbps,19456 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,216 Mbps,27750 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,92 ms,414 Mbps,53043 kB/s
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,85 ms,303 Mbps,38809 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,52 ms,54 Mbps,7004 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,70 ms,120 Mbps,15360 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,85 ms,457 Mbps,58572 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,115 ms,264 Mbps,33792 kB/s
129.159.241.239,443,2606:f240:f00:46c4:0:e836:4c94:6f34,US,Frankfurt,隧道,107 ms,263 Mbps,33689 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,83 ms,99 Mbps,12697 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,235 Mbps,30105 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,240 Mbps,30822 kB/s
129.146.46.164,443,129.146.46.164,223 Mbps,28569 kB/s
35.230.79.26,443,35.212.201.120,US,Seattle,隧道,96 ms,320 Mbps,41062 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,11 ms,117 Mbps,15052 kB/s
141.144.199.182,443,2a0b:21c0:100a:1fa:0:5580:63:4f23,DE,Frankfurt,隧道,116 ms,241 Mbps,30924 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,120 Mbps,15360 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,93 ms,256 Mbps,32870 kB/s
158.101.211.165,443,98.98.166.186,US,Frankfurt,隧道,113 ms,130 Mbps,16691 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,97 ms,0 Mbps,76 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,277 Mbps,35532 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,112 ms,98 Mbps,12595 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,18 ms,6 Mbps,867 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,89 ms,7 Mbps,917 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,119 ms,46 Mbps,5924 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,16 ms,3 Mbps,472 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,222 ms,100 Mbps,12800 kB/s
168.138.149.17,443,168.138.149.17,BR,S
