中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,17 ms,792 Mbps,101478 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,242 Mbps,31027 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,70 ms,259 Mbps,33177 kB/s
144.24.200.164,443,144.24.200.164,FR,Milan,中转,89 ms,47 Mbps,6061 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,69 ms,267 Mbps,34201 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,75 ms,321 Mbps,41164 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,72 ms,383 Mbps,49049 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,90 ms,46 Mbps,5912 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,46 Mbps,6013 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,263 Mbps,33689 kB/s
143.47.185.70,443,2606:f240:f00:46c4:0:37bf:18b:e8c8,DE,Frankfurt,隧道,93 ms,119 Mbps,15257 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,228 Mbps,29286 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Amsterdam,隧道,95 ms,43 Mbps,5515 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,101 ms,252 Mbps,32358 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,34 Mbps,4439 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,123 ms,87 Mbps,11161 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,224 ms,34 Mbps,4419 kB/s
184.169.181.217,443,184.169.181.217,US,Frankfurt,中转,71 ms,251 Mbps,32153 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,219 ms,28 Mbps,3652 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,236 ms,25 Mbps,3215 kB/s
168.138.46.67,443,168.138.46.67,JP,Singapore,中转,180 ms,41 Mbps,5293 kB/s
64.110.104.30,443,64.110.104.30,JP,Singapore,中转,183 ms,37 Mbps,4765 kB/s
3.112.21.102,443,3.112.21.102,JP,Sydney,中转,180 ms,99 Mbps,12697 kB/s
150.230.7.216,443,150.230.7.216,JP,Perth,中转,181 ms,27 Mbps,3563 kB/s
146.56.162.25,443,146.56.162.25,KR,Manchester,中转,201 ms,36 Mbps,4623 kB/s
129.159.84.71,443,129.159.84.71,US,Paris,中转,101 ms,0 Mbps,109 kB/s
