中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,20 ms,1256 Mbps,160768 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,37 ms,521 Mbps,66764 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,62 ms,307 Mbps,39321 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,38 ms,752 Mbps,96256 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,36 ms,625 Mbps,80076 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,52 ms,356 Mbps,45670 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,16 ms,1096 Mbps,140288 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,146 ms,196 Mbps,25190 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,72 ms,438 Mbps,56115 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,160 ms,161 Mbps,20684 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,71 ms,369 Mbps,47308 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,508 Mbps,65126 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,67 ms,596 Mbps,76288 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,17 ms,47 Mbps,6083 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,184 Mbps,23654 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,30 ms,477 Mbps,61132 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,149 ms,36 Mbps,4639 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,63 ms,856 Mbps,109568 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,33 ms,441 Mbps,56524 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,136 ms,41 Mbps,5320 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,64 ms,49 Mbps,6273 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,147 ms,133 Mbps,17100 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,146 ms,20 Mbps,2602 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,181 ms,2 Mbps,364 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,193 ms,47 Mbps,6090 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,58 ms,61 Mbps,7844 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,56 ms,25 Mbps,3270 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,165 ms,148 Mbps,18944 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,175 ms,43 Mbps,5557 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,88 ms,35 Mbps,4558 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,187 ms,93 Mbps,11980 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,148 ms,129 Mbps,16588 kB/s
158.101.202.251,443,2a0b:21c0:100a:1f9:0:d960:2528:9cda,DE,Frankfurt,隧道,147 ms,128 Mbps,16384 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,115 ms,5 Mbps,741 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,0 ms,138 Mbps,17715 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,167 ms,115 Mbps,14745 kB/s
130.162.144.191,443,2a09:bac1:3f40:90::22:108,KR,Seoul,隧道,142 ms,44 Mbps,5694 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,143 ms,118 Mbps,15155 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,174 ms,96 Mbps,12288 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,70 ms,39 Mbps,5064 kB/s
138.2.115.66,443,2602:ffe4:407:21d9:0:dbea:91f:3a00,SG,Singapore,隧道,226 ms,65 Mbps,8369 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,150 ms,72 Mbps,9324 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,161 ms,40 Mbps,5173 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,74 ms,37 Mbps,4749 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,150 ms,34 Mbps,4364 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,119 Mbps,15257 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,217 ms,45 Mbps,5817 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,166 ms,153 Mbps,19660 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,171 ms,133 Mbps,17100 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,179 ms,100 Mbps,12800 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,179 ms,118 Mbps,15155 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,144 ms,5 Mbps,759 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,156 ms,21 Mbps,2724 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,190 ms,124 Mbps,15872 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,352 ms,0 Mbps,69 kB/s
8.212.44.95,443,47.76.21.103,HK,Hong Kong,隧道,240 ms,73 Mbps,9432 kB/s
193.123.230.164,443,217.142.149.56,KR,Seoul,隧道,154 ms,140 Mbps,17920 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,160 ms,38 Mbps,4948 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,177 ms,117 Mbps,15052 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,164 ms,40 Mbps,5226 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,60 ms,49 Mbps,6313 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,210 ms,37 Mbps,4814 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,255 ms,51 Mbps,6608 kB/s
132.226.21.148,443,2602:ffe4:407:20d9:0:3a29:c0e9:6e08,SG,Singapore,隧道,261 ms,43 Mbps,5565 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,310 ms,0 Mbps,44 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,203 ms,0 Mbps,78 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,166 ms,141 Mbps,18124 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,263 ms,84 Mbps,10854 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,135 ms,46 Mbps,6012 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,146 ms,41 Mbps,5256 kB/s
