中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,753 Mbps,96460 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,4 Mbps,613 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,50 ms,458 Mbps,58675 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,53 ms,442 Mbps,56627 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,58 ms,562 Mbps,71987 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,49 ms,484 Mbps,61952 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,51 ms,505 Mbps,64716 kB/s
129.146.46.164,443,129.146.46.164,292 Mbps,37478 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,57 ms,338 Mbps,43315 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,446 Mbps,57139 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,470 Mbps,60211 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,420 Mbps,53862 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,224 Mbps,28774 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,196 Mbps,25190 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,46 Mbps,5970 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,237 Mbps,30412 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,145 ms,43 Mbps,5593 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,172 Mbps,22118 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,119 ms,44 Mbps,5692 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,150 ms,43 Mbps,5534 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,153 ms,43 Mbps,5581 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,40 Mbps,5229 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,41 Mbps,5367 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,215 ms,39 Mbps,5090 kB/s
