中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,6 ms,6 Mbps,864 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,765 Mbps,97996 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,298 Mbps,38195 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,69 ms,212 Mbps,27238 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,383 Mbps,49049 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,337 Mbps,43212 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,70 ms,184 Mbps,23552 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,68 ms,322 Mbps,41267 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,59 ms,369 Mbps,47308 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,54 ms,380 Mbps,48742 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,275 Mbps,35225 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,230 Mbps,29491 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,277 Mbps,35532 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,224 Mbps,28672 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,92 ms,43 Mbps,5561 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,44 Mbps,5729 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,178 ms,38 Mbps,4988 kB/s
143.47.176.251,443,163.123.193.4,DE,Munich,隧道,93 ms,191 Mbps,24473 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,106 Mbps,13619 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,34 Mbps,4478 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,37 Mbps,4845 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,0 Mbps,74 kB/s
