中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,9 ms,632 Mbps,80896 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,56 ms,196 Mbps,25190 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,48 ms,516 Mbps,66150 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,48 ms,536 Mbps,68608 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,21 ms,6 Mbps,882 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,58 ms,473 Mbps,60620 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,429 Mbps,54988 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,56 ms,493 Mbps,63180 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,195 Mbps,24985 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,103 ms,46 Mbps,5936 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,189 Mbps,24268 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,116 ms,224 Mbps,28672 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,156 ms,43 Mbps,5550 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,144 Mbps,18534 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,41 Mbps,5317 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,150 ms,38 Mbps,4928 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,152 ms,38 Mbps,4986 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,163 ms,40 Mbps,5210 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,110 ms,43 Mbps,5536 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,204 ms,37 Mbps,4798 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,208 ms,11 Mbps,1535 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,230 ms,35 Mbps,4600 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,206 ms,38 Mbps,4868 kB/s
