中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,44 ms,566 Mbps,72499 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,14 ms,59 Mbps,7562 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,75 ms,371 Mbps,47513 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,80 ms,372 Mbps,47616 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,100 ms,375 Mbps,48025 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,17 ms,62 Mbps,8021 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,297 Mbps,38092 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,90 ms,256 Mbps,32768 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,264 Mbps,33894 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,105 ms,223 Mbps,28569 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,93 ms,40 Mbps,5220 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,220 Mbps,28160 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,94 ms,42 Mbps,5397 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,11 ms,508 Mbps,65024 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,101 ms,233 Mbps,29900 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,74 ms,352 Mbps,45056 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,7 ms,5 Mbps,682 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,36 ms,455 Mbps,58265 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,98 ms,312 Mbps,39936 kB/s
193.122.62.253,443,2a0b:21c0:100a:1b2:0:fa58:1028:6788,DE,Frankfurt,隧道,120 ms,116 Mbps,14950 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,124 ms,70 Mbps,9036 kB/s
141.144.204.88,443,98.98.156.34,DE,Frankfurt,隧道,99 ms,228 Mbps,29184 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,65 ms,332 Mbps,42598 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,84 ms,269 Mbps,34508 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,125 ms,251 Mbps,32153 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,73 ms,351 Mbps,44953 kB/s
130.61.23.77,443,130.61.23.77,96 Mbps,12288 kB/s
