中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,18 ms,920 Mbps,117760 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::1bd:fd,US,Los Angeles,隧道,33 ms,96 Mbps,12390 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,50 ms,572 Mbps,73318 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,20 ms,596 Mbps,76288 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,18 ms,652 Mbps,83456 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,44 ms,506 Mbps,64819 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,197 Mbps,25292 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,53 ms,515 Mbps,65945 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,57 ms,51 Mbps,6556 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,70 ms,366 Mbps,46899 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,19 ms,652 Mbps,83456 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,69 ms,340 Mbps,43622 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,149 Mbps,19148 kB/s
158.178.155.231,443,2a0b:21c0:100a:1b6:0:2e49:b5d6:6672,DE,Frankfurt,隧道,137 ms,91 Mbps,11673 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,59 ms,50 Mbps,6498 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,149 ms,144 Mbps,18534 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,26 ms,160 Mbps,20480 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,131 ms,48 Mbps,6174 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,152 ms,128 Mbps,16486 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,151 ms,163 Mbps,20889 kB/s
158.101.220.192,443,98.98.166.58,US,Frankfurt,隧道,145 ms,143 Mbps,18329 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,164 Mbps,21094 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,147 ms,36 Mbps,4689 kB/s
