中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,65 ms,424 Mbps,54374 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,16 ms,767 Mbps,98201 kB/s
35.197.23.75,443,35.212.161.210,US,Seattle,隧道,77 ms,556 Mbps,71270 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,53 ms,1 Mbps,167 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,80 Mbps,10342 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,48 ms,562 Mbps,71987 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,52 ms,396 Mbps,50790 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,80 ms,50 Mbps,6478 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,231 Mbps,29593 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,51 ms,430 Mbps,55091 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,44 Mbps,5696 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,342 Mbps,43827 kB/s
35.230.79.26,443,35.212.161.210,US,Seattle,隧道,52 ms,446 Mbps,57139 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,55 ms,496 Mbps,63488 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,109 ms,41 Mbps,5322 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,59 ms,324 Mbps,41472 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,63 ms,416 Mbps,53248 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,109 ms,186 Mbps,23859 kB/s
158.101.201.244,443,98.98.166.58,US,Frankfurt,隧道,111 ms,191 Mbps,24473 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,51 ms,421 Mbps,53964 kB/s
141.147.49.215,443,2a0b:21c0:100a:1b3:0:c942:68bb:1c25,DE,Frankfurt,隧道,124 ms,210 Mbps,26931 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,116 ms,137 Mbps,17612 kB/s
150.230.107.89,443,2607:a400:a:16b:0:e28f:560e:12a7,US,Los Angeles,隧道,163 ms,135 Mbps,17305 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,121 ms,48 Mbps,6153 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,131 ms,28 Mbps,3645 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,119 ms,188 Mbps,24064 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,406 Mbps,52019 kB/s
141.148.224.54,443,2a0b:21c0:1007:cb:0:d7de:baca:b573,DE,Frankfurt,隧道,117 ms,210 Mbps,26931 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,109 ms,49 Mbps,6346 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,173 ms,251 Mbps,32153 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,125 ms,188 Mbps,24166 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,122 ms,48 Mbps,6253 kB/s
