中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.196.48,US,Seattle,隧道,62 ms,606 Mbps,77619 kB/s
129.146.7.98,443,2a09:bac5:60ec:78::c:3a7,US,Los Angeles,隧道,33 ms,83 Mbps,10649 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,41 ms,495 Mbps,63385 kB/s
35.197.23.75,443,35.212.196.48,US,Seattle,隧道,48 ms,627 Mbps,80281 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,22 ms,1032 Mbps,132096 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,67 ms,493 Mbps,63180 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,57 ms,339 Mbps,43417 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,32 ms,587 Mbps,75161 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,39 ms,592 Mbps,75878 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,40 ms,808 Mbps,103424 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,60 ms,396 Mbps,50688 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,118 ms,196 Mbps,25088 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,57 ms,48 Mbps,6228 kB/s
192.9.146.103,443,192.9.146.103,US,Dallas,中转,22 ms,624 Mbps,79872 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,46 ms,64 Mbps,8317 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,35 ms,316 Mbps,40550 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,28 ms,764 Mbps,97792 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,55 Mbps,7049 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,83 ms,49 Mbps,6376 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,151 ms,140 Mbps,18022 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,158 ms,134 Mbps,17203 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,143 ms,44 Mbps,5700 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,155 ms,130 Mbps,16691 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,156 ms,156 Mbps,19968 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,77 ms,29 Mbps,3829 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:109,KR,Seoul,隧道,135 ms,131 Mbps,16793 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,142 ms,128 Mbps,16384 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,151 Mbps,19353 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,148 ms,173 Mbps,22220 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,135 ms,40 Mbps,5176 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,153 ms,38 Mbps,4928 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,148 ms,47 Mbps,6139 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,163 ms,50 Mbps,6416 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,157 ms,22 Mbps,2832 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,145 ms,72 Mbps,9259 kB/s
168.138.149.17,443,168.138.149.17,BR,S
