中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,34 ms,423 Mbps,54169 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,36 ms,347 Mbps,44441 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,36 ms,452 Mbps,57958 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,652 Mbps,83558 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,25 ms,553 Mbps,70860 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,37 ms,686 Mbps,87859 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,35 ms,313 Mbps,40140 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,50 ms,430 Mbps,55091 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,37 ms,396 Mbps,50790 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,55 ms,1 Mbps,188 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,55 ms,46 Mbps,5986 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,140 ms,160 Mbps,20582 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,121 ms,202 Mbps,25907 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,129 ms,47 Mbps,6043 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,142 ms,144 Mbps,18432 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,130 ms,45 Mbps,5766 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,145 ms,147 Mbps,18841 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,133 ms,44 Mbps,5751 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,138 ms,46 Mbps,5889 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,162 ms,42 Mbps,5447 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,165 ms,42 Mbps,5486 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,180 ms,37 Mbps,4781 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,207 ms,33 Mbps,4337 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,214 ms,41 Mbps,5326 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,145 ms,40 Mbps,5246 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,134 ms,37 Mbps,4848 kB/s
