中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,18 ms,732 Mbps,93798 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,44 ms,519 Mbps,66457 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,47 ms,490 Mbps,62771 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,325 Mbps,41676 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,32 ms,1 Mbps,201 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,50 ms,561 Mbps,71884 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,39 ms,468 Mbps,60006 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,39 ms,304 Mbps,39014 kB/s
35.197.23.75,443,35.212.154.209,US,Seattle,隧道,65 ms,516 Mbps,66048 kB/s
35.230.79.26,443,35.212.154.209,US,Seattle,隧道,56 ms,453 Mbps,58060 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,120 ms,185 Mbps,23756 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,119 ms,234 Mbps,30003 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,136 ms,184 Mbps,23552 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,121 ms,168 Mbps,21606 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,121 ms,43 Mbps,5528 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,144 ms,42 Mbps,5475 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,151 ms,41 Mbps,5342 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,169 ms,37 Mbps,4773 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,129 ms,48 Mbps,6194 kB/s
8.219.151.64,443,8.219.116.219,SG,Singapore,隧道,210 ms,13 Mbps,1699 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,198 ms,9 Mbps,1274 kB/s
