中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,6 ms,832 Mbps,106496 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,11 ms,125 Mbps,16076 kB/s
35.230.79.26,443,35.212.185.117,US,Seattle,隧道,87 ms,294 Mbps,37683 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,472 Mbps,60416 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,85 ms,44 Mbps,5647 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,7 ms,57 Mbps,7297 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,42 ms,540 Mbps,69222 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,113 ms,249 Mbps,31948 kB/s
35.197.23.75,443,35.212.185.117,US,Seattle,隧道,84 ms,348 Mbps,44646 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,84 ms,12 Mbps,1624 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,243 Mbps,31129 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,86 ms,238 Mbps,30515 kB/s
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,5 ms,33 Mbps,4252 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,84 ms,332 Mbps,42496 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,109 ms,307 Mbps,39321 kB/s
130.61.23.77,443,130.61.23.77,76 Mbps,9789 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,70 ms,352 Mbps,45158 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,108 ms,46 Mbps,5941 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,200 Mbps,25702 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,67 ms,48 Mbps,6178 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,46 Mbps,5971 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,101 ms,23 Mbps,3041 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,64 ms,294 Mbps,37683 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,82 ms,265 Mbps,33996 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,75 ms,338 Mbps,43315 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,125 ms,77 Mbps,9932 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,110 ms,51 Mbps,6577 kB/s
152.70.56.11,443,2a0b:21c0:100a:1b5:0:ff8a:617f:2148,DE,Frankfurt,隧道,97 ms,231 Mbps,29593 kB/s
168.138.149.17,443,168.138.149.17,BR,S
