中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.201.167,US,Seattle,隧道,22 ms,856 Mbps,109568 kB/s
35.197.23.75,443,35.212.201.167,US,Seattle,隧道,21 ms,896 Mbps,114688 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,18 ms,455 Mbps,58265 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,10 ms,904 Mbps,115712 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,1752 Mbps,224256 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,4 ms,398 Mbps,50995 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,359 Mbps,45977 kB/s
34.82.76.253,443,34.83.12.158,US,Seattle,隧道,48 ms,672 Mbps,86016 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,658 Mbps,84275 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,59 ms,330 Mbps,42291 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,67 ms,7 Mbps,976 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,213 Mbps,27340 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,114 ms,43 Mbps,5535 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,45 Mbps,5843 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,119 ms,42 Mbps,5469 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,135 ms,42 Mbps,5398 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,158 ms,40 Mbps,5195 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,159 ms,112 Mbps,14336 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,167 ms,141 Mbps,18124 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,108 Mbps,13926 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,163 ms,43 Mbps,5589 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,283 ms,5 Mbps,763 kB/s
