中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.196.48,US,Seattle,隧道,75 ms,604 Mbps,77312 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,27 ms,326 Mbps,41779 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,35 ms,1264 Mbps,161792 kB/s
129.146.46.164,443,129.146.46.164,340 Mbps,43520 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,35 ms,547 Mbps,70041 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,506 Mbps,64819 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::26b:67,US,Los Angeles,隧道,29 ms,60 Mbps,7793 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,856 Mbps,109568 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,66 ms,360 Mbps,46080 kB/s
35.197.23.75,443,35.212.196.48,US,Seattle,隧道,46 ms,600 Mbps,76800 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,20 ms,1072 Mbps,137216 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,66 ms,511 Mbps,65433 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,64 ms,50 Mbps,6465 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,22 ms,74 Mbps,9513 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,196 Mbps,25088 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,144 ms,129 Mbps,16588 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,16 ms,799 Mbps,102297 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,37 ms,256 Mbps,32768 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,58 ms,41 Mbps,5359 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,157 ms,164 Mbps,21094 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,153 ms,152 Mbps,19558 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,67 ms,24 Mbps,3125 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,102 ms,320 Mbps,40960 kB/s
158.101.201.45,443,2606:f240:f00:dd8d:0:2c50:d676:2ce4,US,Frankfurt,隧道,151 ms,130 Mbps,16691 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,153 ms,40 Mbps,5246 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,155 ms,82 Mbps,10547 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,157 ms,1 Mbps,171 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,163 ms,21 Mbps,2791 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,172 ms,0 Mbps,85 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,159 ms,49 Mbps,6299 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,159 ms,104 Mbps,13414 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,156 ms,110 Mbps,14131 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,123 ms,198 Mbps,25395 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,153 ms,39 Mbps,5096 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,140 ms,154 Mbps,19763 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,162 ms,46 Mbps,5888 kB/s
130.61.23.77,443,130.61.23.77,97 Mbps,12492 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,143 ms,47 Mbps,6101 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,187 ms,3 Mbps,425 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,166 ms,46 Mbps,5969 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,164 ms,59 Mbps,7592 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,199 ms,87 Mbps,11161 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,175 ms,95 Mbps,12185 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,144 ms,137 Mbps,17612 kB/s
146.56.188.34,443,2607:a400:a:6c:0:c000:4ebf:afc1,US,Los Angeles,隧道,165 ms,118 Mbps,15155 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,158 ms,124 Mbps,15872 kB/s
168.138.149.17,443,168.138.149.17,BR,S
