中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,711 Mbps,91033 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,69 ms,316 Mbps,40448 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,25 ms,3 Mbps,411 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,418 Mbps,53555 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,381 Mbps,48844 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,244 Mbps,31334 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,304 Mbps,38912 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,62 ms,338 Mbps,43315 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,68 ms,400 Mbps,51200 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,74 ms,381 Mbps,48844 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,68 ms,348 Mbps,44544 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,216 Mbps,27648 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,263 Mbps,33689 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,100 ms,46 Mbps,5991 kB/s
141.144.200.134,443,2606:f240:f00:2be4:0:3123:621c:4abb,DE,Munich,隧道,95 ms,246 Mbps,31539 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,49 Mbps,6385 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,132 Mbps,16896 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,45 Mbps,5765 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,177 ms,37 Mbps,4836 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,210 ms,41 Mbps,5295 kB/s
