中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,13 ms,2328 Mbps,297984 kB/s
35.230.79.26,443,35.212.224.237,US,Seattle,隧道,34 ms,800 Mbps,102400 kB/s
192.9.138.241,443,192.9.138.241,US,1472 Mbps,188416 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,38 Mbps,4961 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,9 ms,404 Mbps,51712 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,28 ms,920 Mbps,117760 kB/s
35.197.23.75,443,35.212.224.237,US,Seattle,隧道,31 ms,808 Mbps,103424 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,43 ms,600 Mbps,76902 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,374 Mbps,47923 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,8 ms,692 Mbps,88576 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::1bd:ea,US,Los Angeles,隧道,19 ms,99 Mbps,12697 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,83 ms,24 Mbps,3119 kB/s
132.226.31.178,443,2a09:bac1:7680:e18::26b:7b,US,Los Angeles,隧道,35 ms,42 Mbps,5489 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,33 ms,57 Mbps,7408 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,440 Mbps,56422 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,9 ms,206 Mbps,26419 kB/s
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,87 ms,28 Mbps,3701 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,78 ms,296 Mbps,37888 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,75 ms,377 Mbps,48332 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,165 ms,128 Mbps,16384 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,112 ms,45 Mbps,5884 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,156 ms,147 Mbps,18841 kB/s
146.56.142.169,443,107.151.176.66,US,Los Angeles,隧道,166 ms,96 Mbps,12288 kB/s
8.222.71.83,443,8.216.92.214,JP,Tokyo,隧道,123 ms,21 Mbps,2747 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,60 ms,50 Mbps,6452 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,176 ms,119 Mbps,15257 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,268 Mbps,34304 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,168 ms,128 Mbps,16486 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,182 ms,122 Mbps,15667 kB/s
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,180 ms,52 Mbps,6689 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,42 Mbps,5408 kB/s
158.101.215.34,443,2a0b:21c0:1007:c9:0:ea3f:7f9f:d02f,DE,Frankfurt,隧道,190 ms,112 Mbps,14438 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,177 ms,3 Mbps,433 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,40 ms,952 Mbps,121856 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,151 ms,68 Mbps,8759 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,157 ms,27 Mbps,3505 kB/s
146.56.42.167,443,146.56.42.167,KR,Seoul,中转,142 ms,44 Mbps,5746 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,170 ms,44 Mbps,5637 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,132 ms,147 Mbps,18841 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,162 ms,128 Mbps,16486 kB/s
132.226.172.153,443,107.151.176.66,US,Los Angeles,隧道,180 ms,104 Mbps,13312 kB/s
131.186.29.81,443,2607:a400:a:6b:0:244f:7f04:cd48,US,Los Angeles,隧道,155 ms,142 Mbps,18227 kB/s
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,255 ms,0 Mbps,42 kB/s
8.219.117.138,443,8.219.142.198,SG,Singapore,隧道,271 ms,50 Mbps,6515 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,223 ms,84 Mbps,10752 kB/s
146.56.160.228,443,2607:a400:a:6b:0:8432:637a:5e8f,US,Los Angeles,隧道,181 ms,138 Mbps,17715 kB/s
144.22.252.124,443,144.22.252.124,BR,S
